"Gebiet","Sachmerkmal","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
Lindenau,Diebstahl,"344","369","284","399","417","454","483","523","532","547","609","570","629","646","592","614","591","627","595"
Altlindenau,Diebstahl,"746","708","741","706","746","670","722","781","962","1286","1599","1620","1632","1365","1288","1260","1081","1120","1083"
Neulindenau,Diebstahl,"425","469","370","439","434","340","374","386","391","371","599","536","442","498","367","462","266","362","369"
Leutzsch,Diebstahl,"333","453","378","404","401","358","420","399","500","521","714","637","568","544","437","519","475","466","308"
Böhlitz-Ehrenberg,Diebstahl,"259","305","293","287","362","207","211","212","225","318","404","344","372","412","316","261","259","232","175"
Burghausen-Rückmarsdorf,Diebstahl,"317","247","253","246","224","164","230","210","225","336","275","255","233","245","217","169","152","129","128"
Möckern,Diebstahl,"894","726","544","508","521","548","544","722","672","805","1002","1030","1013","945","832","736","632","650","521"
Wahren,Diebstahl,"328","283","208","256","221","183","165","192","214","229","272","315","315","342","287","232","197","188","162"
Lützschena-Stahmeln,Diebstahl,"115","97","124","111","93","83","101","119","129","168","221","197","313","588","434","582","476","238","338"
Lindenthal,Diebstahl,"211","233","177","146","122","85","115","136","158","185","186","137","223","166","196","207","209","212","127"
Gohlis-Süd,Diebstahl,"1012","722","651","683","738","713","955","1089","1049","1252","1325","1214","1403","1361","1017","1155","1057","913","656"
Gohlis-Mitte,Diebstahl,"440","454","419","422","485","401","448","414","347","450","601","569","607","716","483","528","480","497","276"
Gohlis-Nord,Diebstahl,"361","449","207","303","343","188","167","223","205","334","347","241","306","299","381","298","301","330","214"
Eutritzsch,Diebstahl,"996","911","928","851","804","787","778","739","836","734","900","810","791","906","819","752","683","622","545"
Seehausen,Diebstahl,"442","455","362","430","311","243","253","313","403","434","445","412","633","437","282","417","295","270","451"
Wiederitzsch,Diebstahl,"271","285","190","200","206","170","223","230","258","259","282","251","260","274","201","203","175","193","197"
Mitte,Diebstahl,"8589","8181","6896","7743","6725","6568","7169","8271","8918","9639","10886","9938","12211","12679","10106","10444","8938","6540","7406"
Nordost,Diebstahl,"1731","1656","1428","1725","1674","1545","1947","1843","2093","2201","2460","2192","2370","2206","2171","2156","2173","1959","1879"
Ost,Diebstahl,"4247","3967","3804","3877","4127","3497","3634","3465","4283","4451","5014","5195","6406","5578","5323","4856","4964","4298","3890"
Südost,Diebstahl,"2601","2358","2000","2886","3028","2554","2470","2662","3029","2817","3495","3304","4066","3555","3643","3673","3596","2881","2736"
Süd,Diebstahl,"2783","2445","1879","2440","2449","2206","2755","2641","3197","3014","3055","2747","3541","2988","2372","2702","2252","1957","1881"
Südwest,Diebstahl,"2309","2192","2154","2182","2364","2052","2375","2508","2639","2947","3322","3168","3568","3660","2748","2832","2336","2595","2172"
West,Diebstahl,"2554","2372","2161","1858","1782","1633","1871","1977","2099","2616","2817","2501","2955","2471","2300","2387","1965","1855","1681"
Alt-West,Diebstahl,"2424","2551","2319","2481","2584","2193","2440","2511","2835","3379","4200","3962","3876","3710","3217","3285","2824","2936","2658"
Nordwest,Diebstahl,"1548","1339","1053","1021","957","899","925","1169","1173","1387","1681","1679","1864","2041","1749","1757","1514","1288","1148"
Nord,Diebstahl,"3522","3276","2757","2889","2887","2502","2824","3008","3098","3463","3900","3497","4000","3993","3183","3353","2991","2825","2339"
Stadt Leipzig,Diebstahl,"33048","31020","27627","30168","28731","25751","28482","30113","33437","36027","40959","38293","44967","43002","36962","37633","33695","29273","27965"
Zentrum,Körperverletzung,"277","276","287","260","234","250","306","399","398","396","456","390","426","356","407","459","359","263","470"
Zentrum-Ost,Körperverletzung,"75","86","95","91","110","65","84","100","147","126","150","183","230","273","276","325","302","295","513"
Zentrum-Südost,Körperverletzung,"89","88","94","80","85","118","191","186","205","180","215","217","359","266","200","195","179","164","207"
Zentrum-Süd,Körperverletzung,"60","89","86","69","90","72","121","120","143","153","159","150","175","142","137","154","145","118","177"
Zentrum-West,Körperverletzung,"93","114","74","88","135","121","185","165","143","146","171","172","161","115","141","159","137","115","217"
Zentrum-Nordwest,Körperverletzung,"44","32","54","43","54","48","68","77","91","88","98","99","84","85","89","94","113","76","140"
Zentrum-Nord,Körperverletzung,"47","57","65","53","92","133","243","229","307","343","381","362","368","349","244","260","240","159","147"
Schönefeld-Abtnaundorf,Körperverletzung,"40","45","59","64","65","63","149","168","170","130","173","159","208","205","224","200","181","178","208"
Schönefeld-Ost,Körperverletzung,"33","27","44","48","42","50","85","85","99","99","118","84","98","136","107","147","119","151","139"
Mockau-Süd,Körperverletzung,"26","23","27","21","19","23","43","49","53","41","79","52","83","54","49","65","43","54","75"
Mockau-Nord,Körperverletzung,"40","53","33","42","37","26","66","84","90","106","117","80","164","126","118","143","127","147","175"
Thekla,Körperverletzung,"22","20","18","20","32","23","29","33","42","46","59","46","76","58","51","65","57","50","69"
Plaußig-Portitz,Körperverletzung,"8","3","10","7","16","12","9","12","8","4","7","13","18","16","15","26","7","15","21"
Neustadt-Neuschönefeld,Körperverletzung,"88","69","123","143","118","106","203","242","194","273","345","280","348","262","282","292","317","293","335"
Volkmarsdorf,Körperverletzung,"83","77","99","85","85","114","156","185","187","240","256","245","292","251","264","320","317","327","327"
Anger-Crottendorf,Körperverletzung,"54","40","64","82","63","57","120","111","139","145","118","140","159","161","156","139","129","123","141"
