"Gebiet","Sachmerkmal","2015","2017","2019","2021"
Stadt Leipzig,Wohnviertel,"2,14509837065944","2,2","2,2","2,2353482878"
Zentrum,Zukunftsaussicht,"1,9839264354613","2,11547871428837","2","2,1800704205"
Zentrum-Ost,Zukunftsaussicht,"2,02975330661195","2,00944032089495","2","2,0456231479"
Zentrum-Südost,Zukunftsaussicht,"2,24408219656426","2,2387956450508","2","2,2376276786"
Zentrum-Süd,Zukunftsaussicht,"1,91220052083746","2,02638118426828","2,1","2,2344328632"
Zentrum-West,Zukunftsaussicht,"1,97352008851413","2,06492394177835","2,1","2,2030956545"
Zentrum-Nordwest,Zukunftsaussicht,"1,96481312591647","2,02663381387328","1,8","2,0375215236"
Zentrum-Nord,Zukunftsaussicht,"1,96290504364413","1,91865262174665","2,1","2,1630820025"
Schönefeld-Abtnaundorf,Zukunftsaussicht,"2,2554943207348","2,24024511572849","2,2","2,2968591617"
Schönefeld-Ost,Zukunftsaussicht,"2,67055181945475","2,46897644773691","2,5","2,56623158"
Mockau-Süd,Zukunftsaussicht,"2,22193504574751","2,26008879629197","2,3","2,5351436337"
Mockau-Nord,Zukunftsaussicht,"2,63164122909569","2,47030320525717","2,2","2,3907949817"
Thekla,Zukunftsaussicht,"2,36559821999906","2,23449169728073","2,2","2,3879950377"
Plaußig-Portitz,Zukunftsaussicht,"2,41823599190647","2,23044739965337","2,2","2,4165957156"
Neustadt-Neuschönefeld,Zukunftsaussicht,"2,18304053435415","2,28403602230717","2","2,2037918222"
Volkmarsdorf,Zukunftsaussicht,"2,10944476300941","2,26571785383119","2,2","2,1889150787"
Anger-Crottendorf,Zukunftsaussicht,"2,12020178486961","2,11910067681926","2,1","2,2681075618"
Sellerhausen-Stünz,Zukunftsaussicht,"2,3301210537647","2,29624754353764","2,1","2,3517075078"
Paunsdorf,Zukunftsaussicht,"2,42936067013808","2,46085441566981","2,6","2,5244659"
Heiterblick,Zukunftsaussicht,"2,51743268878271","2,34511496268303","2,3","2,3588815305"
Mölkau,Zukunftsaussicht,"2,13567933096267","2,32357274731159","2,2","2,3340776239"
Engelsdorf,Zukunftsaussicht,"2,39013195775975","2,3821638738015","2,3","2,3971329304"
Baalsdorf,Zukunftsaussicht,"2,11077367782302","2,14640677236681","2","2,2757603922"
Althen-Kleinpösna,Zukunftsaussicht,"2,19450237592304","2,39782374061582","2,2","2,5598780444"
Reudnitz-Thonberg,Zukunftsaussicht,"2,07841121606423","2,12293080865988","2,2","2,2258179147"
Stötteritz,Zukunftsaussicht,"2,09892810772466","2,17830428669503","2,2","2,2818954605"
Probstheida,Zukunftsaussicht,"2,15417827179808","2,36196079938582","2,2","2,3032320558"
Meusdorf,Zukunftsaussicht,"2,51045936670277","2,38601141541084","2,4","2,4256776"
Liebertwolkwitz,Zukunftsaussicht,"2,15934348557264","2,3990611878432","2,2","2,3293493222"
Holzhausen,Zukunftsaussicht,"2,15919990587973","2,19553565273107","2,1","2,3356721617"
Südvorstadt,Zukunftsaussicht,"1,87939451017935","2,13619681308854","2","2,1387658563"
Connewitz,Zukunftsaussicht,"2,08756204430785","2,19998282650295","2,1","2,2776397691"
Marienbrunn,Zukunftsaussicht,"2,28337083472732","2,21071928167247","2,1","2,3744940531"
Lößnig,Zukunftsaussicht,"2,33308736458841","2,37142374531354","2,4","2,3292468379"
Dölitz-Dösen,Zukunftsaussicht,"2,18628446799994","2,2304456191972","2,1","2,184498735"
Schleußig,Zukunftsaussicht,"1,90494969358857","1,99025063847119","1,9","2,1184516958"
Plagwitz,Zukunftsaussicht,"2,02022924719405","2,09804587203417","2","2,0681167956"
Kleinzschocher,Zukunftsaussicht,"2,27549574051791","2,22990855159012","2,4","2,2597201946"
Großzschocher,Zukunftsaussicht,"2,42744105102186","2,33785319768585","2,3","2,4374318148"
Knautkleeberg-Knauthain,Zukunftsaussicht,"2,19058460491717","1,99401173640925","2,2","2,2103926807"
Hartmannsdorf-Knautnaundorf,Zukunftsaussicht,"2,18271216506819","2,27042816173833","2,2","2,44568001"
Schönau,Zukunftsaussicht,"2,45309882494355","2,4783477678895","2,2","2,3787691795"
Grünau-Ost,Zukunftsaussicht,"2,60234825863963","2,61273692770013","2,5","2,4710959349"
Grünau-Mitte,Zukunftsaussicht,"2,47897782848417","2,45039318040324","2,5","2,43377225"
Grünau-Siedlung,Zukunftsaussicht,"2,30189880339744","2,40344199964258","2,3","2,2388129498"
Lausen-Grünau,Zukunftsaussicht,"2,41595949178939","2,43308757585557","2,4","2,4915330737"
Grünau-Nord,Zukunftsaussicht,"2,52992205387623","2,64418183596569","2,4","2,556107707"
Miltitz,Zukunftsaussicht,"2,29271188666225","2,33300010809504","2,2","2,3537637193"
Lindenau,Zukunftsaussicht,"2,06148532054827","2,12053483084107","2,1","2,1484339958"
Altlindenau,Zukunftsaussicht,"2,14994529028443","2,14689126780504","2,2","2,199739588"
Neulindenau,Zukunftsaussicht,"2,20329318430176","2,34071450256593","2,2","2,3021025618"
Leutzsch,Zukunftsaussicht,"2,37276079280861","2,16994579824506","2,3","2,1541694365"
Böhlitz-Ehrenberg,Zukunftsaussicht,"2,16067909766643","2,16349869904055","2,2","2,4098314198"
Burghausen-Rückmarsdorf,Zukunftsaussicht,"2,29456549700789","2,2213724463981","2,1","2,1591806929"
Möckern,Zukunftsaussicht,"2,47292931876775","2,30492773369667","2,2","2,3361871383"
