"Gebiet","Sachmerkmal","2011","2013","2015","2017","2019","2021"
Nordost,Gesamtmiete,"6,75862068965517","7,23214285714286","7,33333333333333","7,53093120719503","7,72102783629181","8,23076923076923"
Ost,Gesamtmiete,"6,6","6,95555555555556","7,06259142573749","7,5","7,92080646005117","8,32835820895522"
Südost,Gesamtmiete,"7","7,03125","7,40615451408352","7,75624883904792","8,29834076586898","8,83561643835616"
Süd,Gesamtmiete,"7,3394495412844","7,46031746031746","7,79835136228864","7,98991054024311","8,40510566981695","8,82978723404255"
Südwest,Gesamtmiete,"7,22222222222222","7,23684210526316","7,62336463477919","8,16750017216693","8,2","9,11111111111111"
West,Gesamtmiete,"6,45833333333333","6,57446808510638","6,74850044387323","6,82454718859139","7,14285714285714","7,675"
Alt-West,Gesamtmiete,"6,97142857142857","7,28070175438597","7,59242087876155","7,74793990772443","8,27586206896552","8,92857142857143"
Nordwest,Gesamtmiete,"7,40350877192982","7,60869565217391","7,42682690913861","7,58904737638203","8","8,47916666666667"
Nord,Gesamtmiete,"7,2280701754386","7,35593220338983","7,58093549096873","8","8,33333333333333","8,82352941176471"
Stadt Leipzig,Gesamtmiete,"7,08219178082192","7,2289156626506","7,5","7,77161064142224","8,18181818181818","8,66666666666667"
Zentrum,Mietbelastung,"36,2","29,1170098166515","33,1275089147672","29,9216217807666","29,9846230894372","29,0561959504659"
Zentrum-Ost,Mietbelastung,"31,7","46,5438200530803","28,1215251042835","30,3607852704056","31,6621237420344","26,1960477414243"
Zentrum-Südost,Mietbelastung,"34,1","37,6641612696005","37,5009205955685","31,8977881570017","30,2256953629908","30,0879214737993"
Zentrum-Süd,Mietbelastung,"37,3","37,7851419852558","27,1563967184542","31,2921781806259","30,4908203782237","25,3409352989175"
Zentrum-West,Mietbelastung,"33,9","32,8625035545282","27,7263916155828","29,5203728060459","27,7329920034655","27,8501574179685"
Zentrum-Nordwest,Mietbelastung,"29,9","30,2781238441922","31,8518760212924","29,1604920287703","27,7441740639515","26,9024455674221"
Zentrum-Nord,Mietbelastung,"34,4","40,8811238635651","30,4727423779145","29,3483654744584","28,9241519344203","28,3198547124237"
Schönefeld-Abtnaundorf,Mietbelastung,"37,5","31,7047579952444","34,1660793436725","28,0278883728392","30,7362704597665","29,7298254031614"
Schönefeld-Ost,Mietbelastung,"32,9","32,2921100831295","33,1457670637099","35,0856951267077","26,6049709376241","26,4707747017199"
Mockau-Süd,Mietbelastung,"32,3","30,4607497667292","33,4455635923837","25,7645455246243","26,4875458088701","27,539421481288"
Mockau-Nord,Mietbelastung,"30,6","38,6839264035305","30,2787944098714","26,6594828081569","26,3745230507137","25,8906291648823"
Thekla,Mietbelastung,"32","48,6602986624837","31,2871168839781","30,1682158372965","27,7379468559028","27,4543480179265"
Plaußig-Portitz,Mietbelastung,"0","0","0","0","0","0"
Neustadt-Neuschönefeld,Mietbelastung,"37,1","39,6668952230963","38,8233194376452","29,9654818993717","31,9506371651801","30,2088276715224"
Volkmarsdorf,Mietbelastung,"36,2","44,1503144806916","33,5369880685473","37,5085474421988","30,8979360359359","26,260696689771"
Anger-Crottendorf,Mietbelastung,"32,9","41,2438911996362","31,7941763782242","34,5962185104435","30,1053127102035","27,2212520606595"
Sellerhausen-Stünz,Mietbelastung,"31,5","33,5460467234142","33,6493831580111","32,4782488203144","27,7712728532568","24,7588181914777"
Paunsdorf,Mietbelastung,"34,6","37,2934933411138","31,8412078461356","31,4978519824265","30,728770505155","31,1610035068544"
Heiterblick,Mietbelastung,"31,7","30,7744553071111","31,5681136404084","28,3518253321559","31,1286118694868","22,753466825572"
Mölkau,Mietbelastung,"34,5","0","27,8200991186643","0","0","0"
Engelsdorf,Mietbelastung,"34,5","30,5021296686522","30,6635702571508","26,0076741990023","29,4701118821055","25,6947655982304"
Baalsdorf,Mietbelastung,"0","0","0","0","0","0"
Althen-Kleinpösna,Mietbelastung,"30,5","0","23,2056161592276","30,3333825414917","0","0"
Reudnitz-Thonberg,Mietbelastung,"37,5","40,5187940475132","35,4065979854428","27,8660843025998","28,6064316763496","27,9749866765583"
Stötteritz,Mietbelastung,"32,7","34,3758658742742","27,9729171217095","29,820146573695","28,4325786992679","25,6590150292861"
Probstheida,Mietbelastung,"33,6","32,6597585539945","27,6764026999041","34,5848081035415","31,5189014337644","29,7154551839805"
Meusdorf,Mietbelastung,"32,3","0","29,0848622337769","27,0951261239641","0","0"
Liebertwolkwitz,Mietbelastung,"31,7","0","30,3511299820734","28,7958088426152","30,6406505417543","0"
Holzhausen,Mietbelastung,"38,7","0","33,3155442886227","0","31,0074284386009","0"
Südvorstadt,Mietbelastung,"31,9","33,1870714811341","31,4479351528344","27,7103746086046","29,9011628290369","25,2115171341688"
Connewitz,Mietbelastung,"36,5","33,3863698531285","33,1420395846297","31,8809211834933","27,7207089435651","27,5864340181966"
Marienbrunn,Mietbelastung,"34,2","44,5514112612722","28,2392046351604","28,1296736742806","30,1169505116599","25,0666817524334"
Lößnig,Mietbelastung,"33,5","30,2079287600664","28,3094913248771","31,1912262978194","27,8458512812083","26,4959934612571"
Dölitz-Dösen,Mietbelastung,"32,1","38,5799026682916","30,6604686148481","28,1082753531131","27,8957177266138","29,0781866025865"
Schleußig,Mietbelastung,"30,3","29,3627031472175","27,6140857375427","33,4342553782712","28,6949993350637","27,8408012298232"
Plagwitz,Mietbelastung,"33,6","37,8921622738449","28,0373612273227","28,7643862261863","28,6870217394499","26,9219426073118"
Kleinzschocher,Mietbelastung,"35,8","37,3172655799782","28,2101998788523","28,1925310253595","27,4742492080782","31,2275139925176"
Großzschocher,Mietbelastung,"33,3","29,367614879258","27,5247330945015","30,2557761655005","29,3149505182734","29,3399535405618"
Knautkleeberg-Knauthain,Mietbelastung,"0","31,8969216530893","0","0","0","0"
Hartmannsdorf-Knautnaundorf,Mietbelastung,"0","0","0","0","0","0"
Schönau,Mietbelastung,"32,6","31,9944490778941","25,2646483980979","32,0762670002996","25,3535160962348","28,0336474097096"
Grünau-Ost,Mietbelastung,"29,9","28,5841557447997","32,1077988464079","29,3108110717552","28,7685698460012","25,025786641033"
Grünau-Mitte,Mietbelastung,"33,5","34,6662134236376","31,5642706247525","30,4111700705576","32,6788732921062","27,6338504163693"
Grünau-Siedlung,Mietbelastung,"30,9","25,4488382951492","0","0","0","0"
Lausen-Grünau,Mietbelastung,"32,4","29,9960222563649","28,9911176234082","29,3706781292774","27,8752055376455","28,0549982882238"
Grünau-Nord,Mietbelastung,"30,1","35,1596749785195","30,4708772039288","27,3516183969376","26,6653287971425","26,8867316014179"
Miltitz,Mietbelastung,"31,7","31,5849801985641","29,4819628507251","28,3700084628621","0","24,3766194018846"
Lindenau,Mietbelastung,"41,4","40,3066272252991","30,5437666550897","32,5907297660249","28,9516017390535","30,5931325320609"
Altlindenau,Mietbelastung,"34,7","42,1579983422712","30,9478402124212","31,992484238463","32,0717372617072","29,0943570982777"
Neulindenau,Mietbelastung,"34,3","45,0267254763546","30,6135931962889","33,221452216303","30,5386645682113","26,5224942806175"
Leutzsch,Mietbelastung,"34","32,1290227211909","32,9321283305271","30,7769957139788","30,6142091374823","25,6881982313608"
Böhlitz-Ehrenberg,Mietbelastung,"39,2","28,6671268672437","27,2570619887463","31,611340442141","33,181667460612","26,8934776640588"
Burghausen-Rückmarsdorf,Mietbelastung,"34,9","0","0","0","0","0"
Möckern,Mietbelastung,"31","32,2404030330104","26,2364569149939","28,8643318896977","26,9256963745522","25,3685417280608"
Wahren,Mietbelastung,"34,7","34,9745628135117","33,7715189599842","31,1158349538015","28,7713921419257","29,2866022814467"
Lützschena-Stahmeln,Mietbelastung,"30,2","0","0","0","0","0"
Lindenthal,Mietbelastung,"31,2","26,9118056747314","29,5313915563092","25,9023069905511","32,1908007862845","28,7514070998047"
Gohlis-Süd,Mietbelastung,"33,7","29,8953619113089","28,3691275023601","25,9262517253172","31,3841353106007","28,2307821397568"
Gohlis-Mitte,Mietbelastung,"32","26,5689573404439","26,8797824698556","25,8098380338955","26,7332546041448","27,5710056303189"
Gohlis-Nord,Mietbelastung,"33,5","31,8735512620567","30,2978526882048","27,5202024021076","28,5528318949205","26,3007836481147"
Eutritzsch,Mietbelastung,"32,8","34,8800958724632","31,9525949456743","29,8226224685143","28,2881004658738","27,6395385268003"
Seehausen,Mietbelastung,"28,3","28,3141003100596","0","27,6302401072279","0","0"
Wiederitzsch,Mietbelastung,"33,5","36,6698316409405","0","26,9097528733999","0","0"
Mitte,Mietbelastung,"33,9","36,5444084699876","31,0976381967786","31,210987159072","30,848853103622","30,6966033340367"
Nordost,Mietbelastung,"32,3","34,0548009692694","31,6755204875936","29,7610886699152","28,4452091629923","28,252570685018"
Ost,Mietbelastung,"32,5","38,8198124739066","35,3850206063457","31,1263051620388","32,3531502687212","28,806064369622"
Südost,Mietbelastung,"35,3","38,4029439896423","34,3523238270496","31,3725365138192","31,1365581248483","26,8853312604739"
Süd,Mietbelastung,"34,9","33,165716409262","30,083675421345","29,3366298871622","29,1961098853285","27,3993256875907"
Südwest,Mietbelastung,"34,1","35,9947361238197","28,9237688418146","28,7432867332551","30,1161023905544","29,7850572818143"
West,Mietbelastung,"32,4","33,6165250783729","29,7915748971533","28,8425453027649","30,3159592827045","28,8443508677743"
Alt-West,Mietbelastung,"33,5","35,9923312196268","31,3911429526328","32,1320031580034","31,7943027352296","29,1815529251868"
Nordwest,Mietbelastung,"33,8","31,6592932569449","29,541083318956","29,1815636123584","30,2669966848737","27,2489561666866"
Nord,Mietbelastung,"32,5","31,6893038846786","29,1965263414229","27,3384104553695","28,2926371453216","27,9967001124035"
Stadt Leipzig,Mietbelastung,"33,5","35,1457453925558","31,4304148610065","30,0187430713084","30,4058123557898","28,5972746759314"
