"Gebiet","Sachmerkmal","2011","2013","2015","2017","2019","2021"
Grünau-Mitte,Fachabitur,"10,0463891932447","5,02430021408526","4,44870934217609","15,2674900821316","8,99080053024311","9,94652340093333"
Grünau-Siedlung,Fachabitur,"6,4827534783599","6,39042102384825","10,5338690885339","7,34998960874191","10,2290551474489","14,8961906293804"
Lausen-Grünau,Fachabitur,"3,35362862650498","5,996067100311","13,3481596406108","7,30300288012365","10,9796943073925","11,1815595406132"
Grünau-Nord,Fachabitur,"5,50054467473449","0","10,5630691750294","16,5955722267936","15,1366176708421","12,5619467093606"
Miltitz,Fachabitur,"9,72884416058053","4,53447370440775","13,1902021730997","12,7516813101209","14,5651463775149","14,6525973337092"
Lindenau,Fachabitur,"2,09610657681758","7,18479633240158","12,6554118789562","5,02534358845038","9,92447624392068","14,8594568839495"
Altlindenau,Fachabitur,"7,98742792081795","11,3705412616442","9,814358667366","5,82421767016608","9,48177241628661","10,9186654038626"
Neulindenau,Fachabitur,"6,85501768438379","7,08940154923239","10,1470436411368","9,11638280232874","11,1058515312081","12,6783634113186"
Leutzsch,Fachabitur,"6,37938580345852","6,96959323354434","6,82559602036146","20,6572564649956","14,5725090552381","9,16644658605061"
Böhlitz-Ehrenberg,Fachabitur,"3,19013913288547","7,84587125928245","15,0167381667398","13,5368166812542","11,3661007787685","12,2463276551904"
Burghausen-Rückmarsdorf,Fachabitur,"3,120316809236","10,7238050853298","7,87907021871811","9,32194347160775","12,7460315606034","14,6506244964783"
Möckern,Fachabitur,"8,61694686901646","15,8291750090845","11,1507900589149","13,4933396286197","8,75569699278353","9,98139295296382"
Wahren,Fachabitur,"5,06191473572088","7,08572425239775","12,4219723795961","9,1501011901053","4,77854353225141","16,3946362270568"
Lützschena-Stahmeln,Fachabitur,"10,8408116204158","7,28110238591791","12,1168440528572","8,07680913983558","5,49666226025432","8,33001579249684"
Lindenthal,Fachabitur,"6,48564254140472","5,94887208677184","8,43483084205047","10,925866947772","13,0851234183172","12,8253997701998"
Gohlis-Süd,Fachabitur,"9,51930501401364","10,7526418511732","13,0060735858547","9,30944835385294","12,7294966480577","9,00119555932806"
Gohlis-Mitte,Fachabitur,"10,8984593364442","2,38129471626183","14,0358656590818","16,638485823063","10,1158334236497","14,770720210278"
Gohlis-Nord,Fachabitur,"9,02879318157452","5,13062421825366","7,4870046669691","10,9705311590361","11,1201428562181","14,9173132934606"
Eutritzsch,Fachabitur,"4,88138280665584","6,11341795806083","9,10784861918328","7,89950406649025","17,5945391678969","11,2045861694372"
Seehausen,Fachabitur,"2,09202340171663","9,09110785190685","15,5855250353116","8,50826439552129","7,58652721319156","19,2677652813401"
Wiederitzsch,Fachabitur,"10,5995541919443","9,51760847827995","8,73583189128519","9,35532859149524","20,5143173035643","14,7229266993239"
Mitte,Fachabitur,"7,69851487482719","8,0991181445781","12,2915899662546","12,3018478982475","10,1018603170551","9,76512837625826"
Nordost,Fachabitur,"5,50039262622922","5,72685185121162","6,00886636210036","9,03904089479821","9,85174374296452","7,9207754337667"
Ost,Fachabitur,"5,86499733730519","7,1454005772699","9,78621661555936","7,81684123816311","10,6007188192224","8,97714459422784"
Südost,Fachabitur,"9,03888424953676","6,45905849973435","9,12641855616028","11,2582195772905","10,6061187490586","9,73834377468463"
Süd,Fachabitur,"6,24423573356251","10,0038568392317","11,9135467620715","9,02144552943666","12,1467648882504","10,0340045455506"
Südwest,Fachabitur,"6,53289451215552","5,91165724014694","7,41216883652018","11,6664653027793","10,586414156178","10,2849734300026"
West,Fachabitur,"5,99211717344259","4,95115444387054","7,98225269516592","10,1994774967885","8,82565632439341","9,15484549532228"
Alt-West,Fachabitur,"5,59769743235456","7,20439743198544","8,90864364589399","9,58778169449725","8,88151562889192","11,3596668095019"
Nordwest,Fachabitur,"9,9871107115613","9,55429797103807","8,83416610229734","10,1356277420749","9,00962420701793","11,1411808855294"
Nord,Fachabitur,"9,09514861013056","6,75861392896981","10,2585095528154","11,512368394015","12,2804144805595","9,32606358123723"
Stadt Leipzig,Fachabitur,"7,06655765135927","7,1285178701181","9,43184537394167","10,2415543458906","10,4366821964336","9,72745243105461"
Zentrum,Realschulabschluss,"27,0211162369749","22,9440822923226","15,4982851390789","17,6784100166144","15,5125845294919","13,8555041703305"
Zentrum-Ost,Realschulabschluss,"26,4362281045864","28,4875942425672","26,1534629100708","20,2822348115579","19,8444982682059","21,8706909465419"
Zentrum-Südost,Realschulabschluss,"31,2229394704912","20,7961667195448","18,7499767625244","19,4770153917251","14,9408719298799","16,6889273642014"
Zentrum-Süd,Realschulabschluss,"19,2327316027411","21,5966766217202","16,0747872841996","20,3529848541569","14,5580119038366","14,7680466088797"
Zentrum-West,Realschulabschluss,"31,5474668199827","32,703998898206","15,2369110781081","11,6158840398102","18,1812818963982","17,3190392782335"
Zentrum-Nordwest,Realschulabschluss,"27,3420663590312","29,729366100842","18,3208417776071","17,5190167862717","7,19362222908638","12,5591473259068"
Zentrum-Nord,Realschulabschluss,"29,0613405012884","19,1467398690822","27,325470104804","18,8310841534564","18,1939130717807","14,7959511017098"
Schönefeld-Abtnaundorf,Realschulabschluss,"46,9114943818139","65,1977771444745","48,5111293205828","30,6116495098487","32,1226789840338","39,3928846044288"
Schönefeld-Ost,Realschulabschluss,"41,3772044921012","48,2322200402267","35,4934029265339","36,5543534125931","41,6483979437294","32,6183658982097"
Mockau-Süd,Realschulabschluss,"55,2194349836058","44,0555718909507","44,4480384599934","46,9414826838929","42,0611364789447","39,4630340568987"
Mockau-Nord,Realschulabschluss,"46,4757582777636","45,8597551943921","43,1402695179036","46,499254677592","43,7239674258464","47,6600379764278"
Thekla,Realschulabschluss,"54,00512904953","45,8909929213681","44,2532290506889","43,1498140626556","33,6146781489163","42,8609431299836"
Plaußig-Portitz,Realschulabschluss,"48,2661085676194","45,9371039423869","44,7902042415073","48,675680002969","45,1740788292664","37,7443618792017"
Neustadt-Neuschönefeld,Realschulabschluss,"35,0759833691713","25,709413418533","19,4959736987","33,4032868257916","17,5489912137333","7,61525147844399"
Volkmarsdorf,Realschulabschluss,"35,6904509282023","30,6346938044988","21,2611758367596","22,1612031050281","15,689253828065","15,1171489498354"
Anger-Crottendorf,Realschulabschluss,"43,4238764526699","31,5786038552415","31,7012619676259","34,5874722434027","23,1414902378798","18,5012634829477"
Sellerhausen-Stünz,Realschulabschluss,"36,8204623694054","44,516296883608","38,1237155774764","36,0005110263478","32,5750833193718","29,0568305474442"
Paunsdorf,Realschulabschluss,"46,9263889911993","63,3599831034173","42,3350675990573","53,8568422921371","38,7101110836044","43,9058680691699"
Heiterblick,Realschulabschluss,"48,4501573132052","52,6857731083768","54,2260443476082","49,1635104137027","48,1323864956224","45,8616307225051"
Mölkau,Realschulabschluss,"43,7490481573353","42,80877111671","41,7798680788119","43,1764224559624","25,8650998725394","28,6908814934032"
Engelsdorf,Realschulabschluss,"50,06531485897","51,6454771854476","49,9657297116049","47,3397253002375","43,0005512209518","44,3124285426482"
Baalsdorf,Realschulabschluss,"46,4491852890727","53,2382657251314","32,5189168553942","36,3245001785224","35,8578530549773","45,7936237805564"
Althen-Kleinpösna,Realschulabschluss,"55,194579929775","56,0317326864951","44,4733613039081","55,886382298014","43,8038661399317","61,3045857514192"
Reudnitz-Thonberg,Realschulabschluss,"31,1303368062605","32,2594039872604","25,2656989889869","25,7361707098729","22,5391580199279","16,8644303764746"
Stötteritz,Realschulabschluss,"40,6203684438921","33,8730285400316","30,8749732766303","32,1744202510138","27,766731575815","29,5037590694836"
Probstheida,Realschulabschluss,"48,7527058164505","41,7346851198111","34,1802961866442","44,7476672786168","27,0516015776192","35,4220831114044"
Meusdorf,Realschulabschluss,"48,323209219764","40,7955223752905","54,3081923236985","44,7520982389556","52,2738087247533","43,8090945395372"
Liebertwolkwitz,Realschulabschluss,"53,925635115878","47,0475603208261","37,4358187772822","63,23377428812","52,113155633539","41,1401774228105"
Holzhausen,Realschulabschluss,"37,8943964788562","43,8071961581675","39,3447801839992","37,9540506546639","35,3683831029844","35,2382728074585"
Südvorstadt,Realschulabschluss,"30,1591517191489","28,9174346539791","21,8825801566817","16,9630142936669","20,3943849231745","8,43242495488571"
Connewitz,Realschulabschluss,"32,2354735906518","30,8854846391825","26,9743044804292","29,8320612359277","22,8939330269912","22,3958795103572"
Marienbrunn,Realschulabschluss,"25,2583806655536","47,7966101095033","33,0153837247426","35,5589840011011","33,7711813761951","27,2887516397225"
Lößnig,Realschulabschluss,"45,7179771857832","54,8929234850413","34,2946018360856","32,7113258601069","40,4004680476918","35,672952959296"
Dölitz-Dösen,Realschulabschluss,"41,0985772400513","39,5983692070839","49,6992900197486","32,5472616134601","37,1723576987773","31,1780665348639"
Schleußig,Realschulabschluss,"29,7037911310149","33,5974669650611","14,7943535030788","12,6154446735892","8,1439410129447","13,2886317694472"
Plagwitz,Realschulabschluss,"27,6462074570474","27,1718228056841","17,8784254030151","16,7103712593856","16,8580446727163","23,5676832608683"
Kleinzschocher,Realschulabschluss,"39,766639053751","44,5427365583136","43,7923939125382","38,1482609115786","32,5071015340681","30,2728555867377"
Großzschocher,Realschulabschluss,"48,5645646640801","57,8502296975874","40,382398684201","38,0283073805828","46,9352618020132","38,5555375778705"
Knautkleeberg-Knauthain,Realschulabschluss,"43,5666205302297","39,9961349845849","35,7090646803271","31,7870054694058","34,5720891110725","32,8517999011057"
Hartmannsdorf-Knautnaundorf,Realschulabschluss,"54,6027391234929","47,1697272810897","41,7796640927692","41,5501034148886","49,498918340528","43,8628003099101"
Schönau,Realschulabschluss,"47,2815906475869","46,5519890963718","45,5628000391115","42,8559783948952","41,5024698764922","43,0745929125005"
Grünau-Ost,Realschulabschluss,"55,900888308407","50,0204739407691","48,4483381357386","45,6227236512928","48,6588019017534","54,8621074633744"
